クラスタ番号,タグ
168,"['#経済', '#社会', '#農業', '#金融']"
169,"['#渋谷', '#新宿', '#ライブハウス', '#銀座']"
170,['#予想']
171,"['#ポケモン', '#ポケモンカード', '#ロボット', '#天使', '#神', '#妖怪', '#宇宙人']"
172,['#翻訳']
173,"['#物語', '#シナリオ', '#ストーリー']"
174,"['#継続', '#自粛']"
175,['#モデル']
176,"['#表現', '#コピック']"
177,['#香り']
178,['#キャリア']
179,['#キャラクター']
180,"['#留学', '#インターン']"
181,['#将来']
182,['#移住']
183,"['#日本人', '#外国人', '#外国為替']"
184,['#撮影']
185,['#死']
186,['#不安']
187,"['#考え方', '#思想']"
188,['#更新']
189,['#組織']
190,['#支援']
191,"['#子ども', '#子供']"
192,"['#意識', '#イメージ', '#内省']"
193,['#声']
194,['#世界']
195,"['#仲間', '#ナンバーズ', '#友人']"
196,"['#地域', '#地方']"
197,['#プレゼント']
198,['#建築']
199,"['#ギター', '#ピアノ', '#ドラム', '#楽器']"
200,"['#歴史', '#世界史']"
201,['#サービス']
202,"['#ラジオ', '#ニュース', '#テレビ', '#nikkei', '#メディア', '#radio', '#keiba', '#NHK', '#モーニング']"
203,['#高校']
204,"['#404美術館', '#美術館', '#図書館', '#展覧会']"
205,['#営業']
206,['#植物']
207,"['#スキル', '#魔法']"
208,['#セールス']
209,"['#写真', '#カメラ', '#photo', '#illustration', '#ポートレート', '#boatrace', '#スナップ', '#drawing', '#画像']"
210,['#卒業']
211,['#ネット']
212,"['#文学', '#文芸', '#純文学']"
213,"['#趣味', '#好き']"
214,"['#相談', '#質問']"
215,"['#思考', '#アウトプット', '#行動', '#マインド', '#インプット', '#対話', '#本質']"
216,['#今']
217,['#才能']
218,['#車']
219,"['#妊娠', '#出産']"
220,['#性格']
221,"['#京都', '#沖縄', '#北海道', '#鎌倉', '#奈良', '#新潟', '#長崎', '#熊本', '#鹿児島', '#高知', '#金沢', '#静岡', '#福島', '#岡山']"
222,['#ナイター']
223,['#水']
224,['#戦争']
225,"['#恋', '#友達', '#出会い', '#セックス', '#先生', '#いじめ', '#一人暮らし', '#デート', '#恋人', '#カップル', '#バイト', '#彼女', '#彼氏', '#上司', '#別れ', '#パワハラ', '#女', '#嘘', '#独身', '#居場所', '#セフレ', '#同棲', '#歯医者']"
226,['#自殺']
227,"['#心理学', '#哲学', '#英語学習', '#人生哲学', '#人生観', '#理学療法士', '#数学', '#西洋占星術', '#心理', '#考察コラム', '#詩のようなもの', '#自分の人生', '#脳科学', '#知恵袋_', '#英語勉強', '#私の不思議体験', '#科学', '#タロット占い', '#ジェンダー', '#MUPカレッジ', '#思考法', '#平成最後の夏', '#女性の生き方', '#今日の占い', '#英語教育', '#アドラー心理学', '#フェミニズム', '#思考の整理', '#人生論', '#宇宙の法則', '#作業療法士', '#機械学習', '#幼児教育', '#人生の生き方', '#プログラミング学習', '#再生核研究所', '#シェアハウス', '#語学留学', '#シェア大歓迎', '#トランスジェンダー', '#日本語教師', '#東洋医学', '#私の勝負曲', '#プログラミング教育', '#英語の勉強']"
228,"['#会社', '#企業']"
229,['#手術']
230,['#季節']
231,['#手紙']
232,['#インタビュー']
233,"['#気づき', '#気付き']"
234,['#努力']
235,['#応援']
236,['#薬']
237,"['#感謝', '#祈り']"
238,"['#知識', '#雑学', '#図解']"
239,"['#情報', '#お知らせ']"
240,"['#不動産', '#資産']"
241,"['#ワークショップ', '#セミナー', '#サークル', '#講座', '#勉強会']"
242,['#通勤']
243,"['#節約', '#稼ぐ']"
244,['#指導者']
245,['#舞台']
246,['#塾']
247,['#演奏']
248,['#運動']
249,['#成長']
